cliente.abandono,cliente.genero,cliente.adulto_mayor,cliente.tiene_pareja,cliente.dependientes,cliente.antiguedad_meses,telefono.servicio,telefono.lineas_multiples,internet.tipo_servicio,internet.seguridad_en_linea,internet.respaldo_en_linea,internet.proteccion_dispositivo,internet.soporte_tecnico,internet.tv_streaming,internet.peliculas_streaming,cuenta.tipo_contrato,cuenta.facturacion_sin_papel,cuenta.metodo_pago,cuenta.cargo_mensual,cuenta.cargo_total,Cuentas.diarias,Cuentas.Prom.Periodo
0,Male,0,0,0,27,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,1,Electronic check,19.4,529.8,0.6466666666666666,19.62222222222222
0,Male,1,1,0,70,Yes,Yes,Fiber optic,No,Yes,Yes,False,Yes,Yes,One year,1,Electronic check,104.8,7308.95,3.493333333333333,104.41357142857144
0,Female,0,1,0,57,Yes,Yes,Fiber optic,No,Yes,Yes,True,Yes,Yes,One year,1,Bank transfer (automatic),109.4,6252.7,3.646666666666667,109.69649122807016
0,Male,0,1,0,58,Yes,No,DSL,No,No,Yes,False,No,No,One year,0,Credit card (automatic),50.3,2878.55,1.6766666666666663,49.63017241379311
0,Male,0,0,0,16,Yes,Yes,DSL,No,Yes,Yes,False,No,Yes,Month-to-month,1,Bank transfer (automatic),71.4,1212.1,2.3800000000000003,75.75625
0,Female,0,1,0,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,Two year,1,Electronic check,116.0,8182.85,3.8666666666666663,118.59202898550726
1,Male,0,0,0,1,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,1,Electronic check,19.85,19.85,0.6616666666666667,19.85
1,Male,0,0,1,1,Yes,Yes,Fiber optic,No,No,Yes,False,Yes,Yes,Month-to-month,1,Electronic check,99.75,99.75,3.325,99.75
0,Male,1,1,1,32,Yes,No,Fiber optic,No,Yes,No,False,Yes,Yes,Month-to-month,1,Mailed check,93.95,2861.45,3.131666666666667,89.4203125
0,Male,0,1,1,16,Yes,Yes,Fiber optic,No,No,Yes,False,Yes,No,Month-to-month,1,Bank transfer (automatic),90.8,1442.2,3.0266666666666664,90.1375
1,Male,0,1,0,49,Yes,Yes,DSL,Yes,No,Yes,True,Yes,Yes,One year,0,Electronic check,84.35,4059.35,2.8116666666666665,82.84387755102041
0,Female,0,1,0,71,No,No phone service,DSL,No,Yes,Yes,True,Yes,Yes,Two year,0,Bank transfer (automatic),58.25,4145.9,1.9416666666666669,58.39295774647887
0,Female,0,0,0,33,Yes,Yes,Fiber optic,No,Yes,Yes,False,Yes,Yes,Month-to-month,0,Electronic check,107.55,3645.5,3.585,110.46969696969695
0,Female,0,1,0,10,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),19.95,187.75,0.6649999999999999,18.775
1,Male,0,1,0,21,Yes,Yes,Fiber optic,No,Yes,Yes,True,Yes,Yes,Month-to-month,1,Electronic check,111.2,2317.1,3.7066666666666666,110.33809523809524
1,Male,0,1,1,37,No,No phone service,DSL,Yes,Yes,Yes,False,No,No,Month-to-month,0,Bank transfer (automatic),40.2,1448.8,1.34,39.15675675675676
0,Female,1,0,0,26,Yes,No,Fiber optic,Yes,No,No,False,Yes,No,Month-to-month,1,Credit card (automatic),85.8,2193.65,2.86,84.37115384615385
0,Male,0,0,0,50,No,No phone service,DSL,Yes,No,No,True,No,No,One year,1,Mailed check,35.4,1748.9,1.18,34.978
1,Female,0,0,0,7,Yes,Yes,Fiber optic,No,No,No,False,No,No,Month-to-month,1,Electronic check,73.85,511.25,2.4616666666666664,73.03571428571429
0,Female,0,1,1,61,Yes,Yes,DSL,Yes,Yes,Yes,True,Yes,Yes,Two year,0,Mailed check,88.1,5526.75,2.9366666666666665,90.60245901639344
1,Male,0,0,0,15,Yes,No,Fiber optic,No,No,Yes,True,Yes,Yes,Month-to-month,1,Electronic check,101.35,1553.95,3.378333333333333,103.59666666666666
0,Female,0,0,1,26,No,No phone service,DSL,Yes,No,No,True,No,Yes,Month-to-month,0,Mailed check,45.8,1147.0,1.5266666666666666,44.11538461538461
0,Male,0,1,0,72,Yes,No,Fiber optic,No,No,Yes,False,Yes,Yes,Month-to-month,1,Electronic check,94.65,6747.35,3.155,93.71319444444444
0,Male,0,1,1,44,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,1,Bank transfer (automatic),20.5,865.05,0.6833333333333333,19.660227272727276
0,Male,0,0,0,66,Yes,Yes,Fiber optic,No,Yes,No,False,No,Yes,Month-to-month,0,Credit card (automatic),89.4,5976.9,2.98,90.5590909090909
1,Female,0,0,0,2,Yes,No,Fiber optic,Yes,Yes,No,True,No,No,Month-to-month,1,Electronic check,86.25,181.65,2.875,90.825
0,Female,1,0,0,44,Yes,No,DSL,No,No,Yes,True,Yes,Yes,One year,0,Bank transfer (automatic),74.85,3268.05,2.495,74.27386363636364
1,Female,0,0,0,12,Yes,Yes,Fiber optic,No,Yes,No,False,Yes,No,Month-to-month,1,Bank transfer (automatic),89.75,1052.4,2.9916666666666667,87.7
0,Male,1,1,0,69,Yes,Yes,Fiber optic,No,Yes,Yes,True,Yes,Yes,Two year,1,Electronic check,109.95,7634.25,3.665,110.6413043478261
1,Female,0,0,0,1,Yes,Yes,Fiber optic,No,Yes,No,False,No,No,Month-to-month,1,Mailed check,80.2,80.2,2.6733333333333333,80.2
1,Female,0,0,0,3,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,63.75,0.6616666666666667,21.25
0,Female,0,1,0,2,Yes,No,Fiber optic,Yes,Yes,No,False,Yes,No,Month-to-month,0,Electronic check,90.35,190.5,3.0116666666666663,95.25
0,Female,1,0,0,27,Yes,Yes,Fiber optic,No,Yes,Yes,False,No,No,Month-to-month,1,Bank transfer (automatic),86.45,2401.05,2.881666666666667,88.92777777777779
0,Male,0,0,0,26,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,1,Electronic check,20.3,511.25,0.6766666666666666,19.66346153846154
0,Female,1,1,0,39,Yes,Yes,Fiber optic,No,No,No,True,Yes,Yes,Month-to-month,1,Electronic check,101.25,3949.15,3.375,101.26025641025642
1,Male,0,0,0,25,Yes,Yes,Fiber optic,No,No,No,False,Yes,Yes,Month-to-month,1,Bank transfer (automatic),94.7,2362.1,3.1566666666666667,94.484
1,Female,0,0,0,1,Yes,No,Fiber optic,No,No,No,False,No,No,Month-to-month,0,Mailed check,70.9,70.9,2.3633333333333337,70.9
1,Male,0,1,0,22,Yes,No,DSL,Yes,No,No,True,No,No,Month-to-month,1,Electronic check,54.2,1152.7,1.8066666666666669,52.39545454545455
0,Female,0,0,0,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,Two year,1,Electronic check,114.9,8496.7,3.83,118.00972222222224
0,Female,0,0,0,24,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,1,Bank transfer (automatic),19.55,470.2,0.6516666666666667,19.591666666666665
0,Female,0,1,0,19,Yes,Yes,Fiber optic,No,No,No,False,Yes,No,Month-to-month,1,Electronic check,86.85,1564.4,2.895,82.33684210526316
0,Male,0,1,1,71,Yes,Yes,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,0,Credit card (automatic),25.35,1847.55,0.8450000000000001,26.021830985915493
0,Male,1,1,0,33,Yes,Yes,Fiber optic,Yes,No,Yes,True,Yes,Yes,Month-to-month,1,Bank transfer (automatic),109.9,3694.7,3.6633333333333336,111.96060606060604
0,Female,0,0,0,3,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,0,Mailed check,19.95,58.0,0.6649999999999999,19.33333333333333
0,Male,0,1,1,47,Yes,Yes,Fiber optic,No,Yes,No,False,Yes,No,Month-to-month,0,Electronic check,87.2,4017.45,2.9066666666666667,85.47765957446808
0,Male,0,1,1,62,Yes,No,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,Two year,0,Mailed check,108.15,6825.65,3.605,110.09112903225804
0,Male,0,0,0,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,One year,1,Bank transfer (automatic),116.3,8309.55,3.8766666666666665,117.03591549295774
0,Male,1,1,0,7,Yes,No,Fiber optic,No,No,No,False,Yes,Yes,Month-to-month,1,Electronic check,89.0,605.45,2.966666666666667,86.49285714285715
0,Female,0,1,1,27,Yes,No,Fiber optic,Yes,No,No,False,No,No,Month-to-month,0,Mailed check,74.4,1972.35,2.48,73.05
0,Male,0,0,0,2,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,33.7,0.6683333333333333,16.85
0,Female,0,0,1,25,No,No phone service,DSL,Yes,No,No,True,No,No,Two year,0,Bank transfer (automatic),35.05,844.45,1.1683333333333332,33.778
0,Male,1,0,0,30,Yes,No,DSL,Yes,Yes,No,False,Yes,Yes,Month-to-month,1,Electronic check,74.75,2111.3,2.4916666666666667,70.37666666666668
1,Female,1,1,0,58,Yes,No,Fiber optic,Yes,Yes,No,True,Yes,Yes,One year,1,Credit card (automatic),105.5,6205.5,3.5166666666666666,106.99137931034484
1,Male,0,1,0,10,Yes,Yes,Fiber optic,No,No,No,False,No,Yes,Month-to-month,1,Electronic check,85.25,855.3,2.841666666666667,85.53
0,Female,0,0,0,9,Yes,Yes,Fiber optic,No,No,No,False,No,No,Month-to-month,1,Credit card (automatic),75.2,633.85,2.506666666666667,70.42777777777778
1,Female,1,1,0,6,Yes,Yes,Fiber optic,No,No,No,False,No,Yes,Month-to-month,1,Electronic check,84.35,474.9,2.8116666666666665,79.14999999999999
0,Female,0,1,1,69,Yes,Yes,Fiber optic,Yes,No,Yes,False,No,No,One year,0,Bank transfer (automatic),84.45,5848.6,2.815,84.76231884057971
0,Female,1,0,0,66,Yes,Yes,Fiber optic,Yes,No,No,False,Yes,Yes,Two year,1,Bank transfer (automatic),102.4,6471.85,3.4133333333333336,98.05833333333334
1,Female,0,0,0,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,One year,0,Credit card (automatic),115.55,8127.6,3.8516666666666666,116.10857142857144
1,Male,0,0,0,25,Yes,Yes,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,0,Bank transfer (automatic),25.3,676.35,0.8433333333333334,27.054
0,Female,0,1,1,46,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,1,Mailed check,19.25,864.2,0.6416666666666667,18.78695652173913
0,Female,0,1,0,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,One year,1,Mailed check,114.65,6049.5,3.8216666666666663,112.02777777777776
1,Female,0,0,0,15,Yes,No,Fiber optic,Yes,No,Yes,True,Yes,Yes,Month-to-month,0,Electronic check,105.1,1582.75,3.503333333333333,105.51666666666668
0,Female,0,1,1,12,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.4,198.1,0.6466666666666666,16.508333333333333
0,Female,0,0,0,22,No,No phone service,DSL,No,Yes,No,False,Yes,Yes,Month-to-month,1,Electronic check,50.35,1098.85,1.6783333333333337,49.94772727272727
0,Female,0,1,0,70,No,No phone service,DSL,No,Yes,Yes,True,Yes,Yes,Two year,0,Bank transfer (automatic),57.8,4039.3,1.9266666666666663,57.70428571428572
0,Male,0,0,0,30,Yes,No,Fiber optic,Yes,Yes,Yes,False,No,No,Month-to-month,1,Credit card (automatic),84.3,2438.6,2.81,81.28666666666666
0,Male,0,1,1,71,Yes,Yes,Fiber optic,No,Yes,No,False,Yes,Yes,One year,0,Bank transfer (automatic),100.55,7113.75,3.3516666666666666,100.193661971831
0,Male,0,1,0,30,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,0,Credit card (automatic),19.8,576.65,0.66,19.221666666666668
1,Male,0,1,1,4,Yes,Yes,Fiber optic,No,Yes,Yes,False,No,No,Month-to-month,1,Bank transfer (automatic),84.8,371.9,2.8266666666666667,92.975
1,Male,0,0,0,2,Yes,No,Fiber optic,No,No,Yes,False,No,Yes,Month-to-month,1,Electronic check,85.85,167.3,2.8616666666666664,83.65
0,Male,0,0,1,10,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,One year,1,Bank transfer (automatic),19.95,219.5,0.6649999999999999,21.95
0,Male,1,0,0,4,Yes,No,Fiber optic,Yes,No,No,False,No,No,Month-to-month,0,Electronic check,75.35,273.4,2.5116666666666663,68.35
0,Male,1,0,0,52,No,No phone service,DSL,Yes,No,No,False,Yes,Yes,Month-to-month,1,Credit card (automatic),48.8,2555.05,1.6266666666666665,49.135576923076925
1,Male,0,0,0,5,Yes,Yes,DSL,No,No,No,False,No,No,Month-to-month,0,Electronic check,47.15,223.15,1.5716666666666663,44.63
0,Male,0,1,1,8,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,0,Mailed check,20.15,165.5,0.6716666666666666,20.6875
0,Female,1,0,0,2,Yes,No,DSL,No,No,No,False,No,No,Month-to-month,1,Electronic check,44.3,89.3,1.4766666666666666,44.65
0,Male,0,0,0,3,Yes,No,Fiber optic,No,Yes,No,False,No,Yes,Month-to-month,0,Electronic check,84.3,235.05,2.81,78.35000000000001
0,Male,0,0,0,19,Yes,Yes,DSL,No,No,Yes,True,No,No,Month-to-month,0,Electronic check,59.55,1144.6,1.985,60.24210526315789
0,Male,0,0,0,72,Yes,Yes,DSL,Yes,Yes,Yes,True,No,No,Two year,0,Bank transfer (automatic),69.65,4908.25,2.3216666666666668,68.17013888888889
0,Male,1,1,0,63,No,No phone service,DSL,Yes,No,No,True,No,No,One year,0,Bank transfer (automatic),36.1,2298.9,1.2033333333333334,36.490476190476194
0,Male,0,1,0,66,No,No phone service,DSL,Yes,Yes,Yes,True,Yes,No,Two year,1,Bank transfer (automatic),56.6,3789.2,1.8866666666666667,57.41212121212121
1,Male,0,0,0,1,Yes,No,Fiber optic,No,No,No,True,No,No,Month-to-month,1,Electronic check,75.9,75.9,2.53,75.9
0,Female,0,0,0,60,Yes,Yes,Fiber optic,No,No,Yes,False,No,No,One year,1,Bank transfer (automatic),79.2,4765.0,2.64,79.41666666666667
0,Female,0,1,1,48,No,No phone service,DSL,Yes,No,Yes,False,No,Yes,One year,0,Credit card (automatic),45.0,2196.3,1.5,45.75625
1,Female,0,0,0,1,Yes,No,Fiber optic,No,No,Yes,False,Yes,No,Month-to-month,1,Credit card (automatic),85.55,85.55,2.8516666666666666,85.55
1,Male,0,0,0,15,Yes,Yes,Fiber optic,No,No,No,False,Yes,Yes,Month-to-month,1,Electronic check,93.35,1444.65,3.1116666666666664,96.31
0,Female,0,1,0,50,Yes,Yes,Fiber optic,Yes,Yes,No,True,Yes,Yes,Month-to-month,1,Bank transfer (automatic),109.65,5405.8,3.655,108.116
0,Male,0,1,1,72,Yes,Yes,DSL,Yes,Yes,Yes,True,Yes,Yes,Two year,0,Credit card (automatic),89.7,6339.3,2.99,88.04583333333333
0,Female,0,0,0,46,Yes,Yes,Fiber optic,Yes,Yes,No,False,No,No,Month-to-month,0,Mailed check,84.25,3847.6,2.808333333333333,83.64347826086956
0,Female,0,1,1,72,Yes,Yes,DSL,Yes,Yes,Yes,True,Yes,Yes,Two year,0,Bank transfer (automatic),92.65,6733.0,3.0883333333333334,93.51388888888889
0,Male,0,1,1,1,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Month-to-month,0,Mailed check,19.7,19.7,0.6566666666666666,19.7
0,Female,0,0,0,1,Yes,Yes,DSL,No,No,No,False,No,No,Month-to-month,1,Electronic check,50.1,50.1,1.6700000000000002,50.1
0,Female,1,0,0,67,Yes,No,Fiber optic,Yes,Yes,No,True,Yes,No,Two year,1,Bank transfer (automatic),92.45,6140.85,3.0816666666666666,91.65447761194032
0,Female,0,1,1,48,Yes,Yes,DSL,No,Yes,No,True,Yes,Yes,Two year,0,Electronic check,79.65,3870.3,2.655,80.63125000000001
0,Female,0,0,0,72,Yes,No,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,Two year,1,Electronic check,109.9,7624.2,3.6633333333333336,105.89166666666668
0,Male,0,1,0,52,Yes,Yes,DSL,Yes,Yes,Yes,True,No,Yes,One year,1,Credit card (automatic),81.4,4354.45,2.7133333333333334,83.73942307692307
0,Female,0,1,1,67,Yes,No,DSL,No,Yes,No,False,No,No,One year,0,Credit card (automatic),50.55,3431.75,1.6849999999999998,51.22014925373134
1,Female,0,1,1,28,Yes,No,Fiber optic,No,No,No,False,No,Yes,Month-to-month,1,Electronic check,81.05,2227.1,2.7016666666666667,79.53928571428571
0,Female,0,1,1,32,Yes,Yes,DSL,No,Yes,Yes,False,No,No,Month-to-month,0,Bank transfer (automatic),62.45,2045.55,2.0816666666666666,63.9234375
1,Female,1,1,0,27,Yes,No,Fiber optic,Yes,No,No,False,No,No,Month-to-month,1,Bank transfer (automatic),75.2,1929.35,2.506666666666667,71.4574074074074
0,Male,0,0,0,3,Yes,No,Fiber optic,No,Yes,Yes,False,No,Yes,Month-to-month,0,Electronic check,90.4,268.45,3.0133333333333336,89.48333333333333
1,Male,0,0,0,2,Yes,Yes,Fiber optic,No,No,No,False,Yes,No,Month-to-month,1,Electronic check,85.65,181.5,2.855,90.75
1,Female,0,0,1,9,Yes,No,DSL,No,No,Yes,True,Yes,Yes,Month-to-month,1,Mailed check,72.9,651.4,2.43,72.37777777777778
0,Male,0,1,1,50,Yes,Yes,DSL,Yes,No,No,True,Yes,No,Two year,1,Credit card (automatic),70.5,3486.65,2.35,69.733
0,Female,0,1,1,71,Yes,No,No,No internet service,No internet service,No internet service,No aplica,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.1,1389.6,0.67,19.57183098591549
