cliente.id,cliente.abandono,cliente.genero,cliente.adulto_mayor,cliente.tiene_pareja,cliente.dependientes,cliente.antiguedad_meses,telefono.servicio,telefono.lineas_multiples,internet.tipo_servicio,internet.seguridad_en_linea,internet.respaldo_en_linea,internet.proteccion_dispositivo,internet.soporte_tecnico,internet.tv_streaming,internet.peliculas_streaming,cuenta.tipo_contrato,cuenta.facturacion_sin_papel,cuenta.metodo_pago,cuenta.cargo_mensual,cuenta.cargo_total,Cuentas.diarias,Cuentas.Prom.Periodo
0139-IVFJG,False,Female,0,True,False,2,Yes,No,Fiber optic,Yes,Yes,No,False,Yes,No,Month-to-month,False,Electronic check,90.35,190.5,3.0116666666666663,95.25
0141-YEAYS,False,Female,1,False,False,27,Yes,Yes,Fiber optic,No,Yes,Yes,False,No,No,Month-to-month,True,Bank transfer (automatic),86.45,2401.05,2.881666666666667,88.92777777777779
0142-GVYSN,False,Male,0,False,False,26,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,True,Electronic check,20.3,511.25,0.6766666666666666,19.66346153846154
0147-ESWWR,False,Female,1,True,False,39,Yes,Yes,Fiber optic,No,No,No,True,Yes,Yes,Month-to-month,True,Electronic check,101.25,3949.15,3.375,101.26025641025642
0148-DCDOS,True,Male,0,False,False,25,Yes,Yes,Fiber optic,No,No,No,False,Yes,Yes,Month-to-month,True,Bank transfer (automatic),94.7,2362.1,3.1566666666666667,94.484
0151-ONTOV,True,Female,0,False,False,1,Yes,No,Fiber optic,No,No,No,False,No,No,Month-to-month,False,Mailed check,70.9,70.9,2.3633333333333337,70.9
0156-FVPTA,True,Male,0,True,False,22,Yes,No,DSL,Yes,No,No,True,No,No,Month-to-month,True,Electronic check,54.2,1152.7,1.8066666666666669,52.39545454545455
0164-APGRB,False,Female,0,False,False,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,Two year,True,Electronic check,114.9,8496.7,3.83,118.00972222222224
0164-XAIRP,False,Female,0,False,False,24,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,True,Bank transfer (automatic),19.55,470.2,0.6516666666666667,19.591666666666665
0168-XZKBB,False,Female,0,True,False,19,Yes,Yes,Fiber optic,No,No,No,False,Yes,No,Month-to-month,True,Electronic check,86.85,1564.4,2.895,82.33684210526316
0174-QRVVY,False,Male,0,True,True,71,Yes,Yes,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,False,Credit card (automatic),25.35,1847.55,0.8450000000000001,26.021830985915493
0177-PXBAT,False,Male,1,True,False,33,Yes,Yes,Fiber optic,Yes,No,Yes,True,Yes,Yes,Month-to-month,True,Bank transfer (automatic),109.9,3694.7,3.6633333333333336,111.96060606060605
0178-CIIKR,False,Female,0,False,False,3,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,False,Mailed check,19.95,58.0,0.6649999999999999,19.333333333333332
0178-SZBHO,False,Male,0,True,True,47,Yes,Yes,Fiber optic,No,Yes,No,False,Yes,No,Month-to-month,False,Electronic check,87.2,4017.45,2.9066666666666667,85.47765957446808
0181-RITDD,False,Male,0,True,True,62,Yes,No,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,Two year,False,Mailed check,108.15,6825.65,3.605,110.09112903225805
0186-CAERR,False,Male,0,False,False,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,One year,True,Bank transfer (automatic),116.3,8309.55,3.8766666666666665,117.03591549295774
0187-QSXOE,False,Male,1,True,False,7,Yes,No,Fiber optic,No,No,No,False,Yes,Yes,Month-to-month,True,Electronic check,89.0,605.45,2.966666666666667,86.49285714285715
0187-WZNAB,False,Female,0,True,True,27,Yes,No,Fiber optic,Yes,No,No,False,No,No,Month-to-month,False,Mailed check,74.4,1972.35,2.48,73.05
0188-GWFLE,False,Male,0,False,False,2,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,False,Mailed check,20.05,33.7,0.6683333333333333,16.85
0191-EQUUH,False,Female,0,False,True,25,No,No phone service,DSL,Yes,No,No,True,No,No,Two year,False,Bank transfer (automatic),35.05,844.45,1.1683333333333332,33.778
0191-ZHSKZ,False,Male,1,False,False,30,Yes,No,DSL,Yes,Yes,No,False,Yes,Yes,Month-to-month,True,Electronic check,74.75,2111.3,2.4916666666666667,70.37666666666668
0193-ESZXP,True,Female,1,True,False,58,Yes,No,Fiber optic,Yes,Yes,No,True,Yes,Yes,One year,True,Credit card (automatic),105.5,6205.5,3.5166666666666666,106.99137931034483
0195-IESCP,True,Male,0,True,False,10,Yes,Yes,Fiber optic,No,No,No,False,No,Yes,Month-to-month,True,Electronic check,85.25,855.3,2.841666666666667,85.53
0196-JTUQI,False,Female,0,False,False,9,Yes,Yes,Fiber optic,No,No,No,False,No,No,Month-to-month,True,Credit card (automatic),75.2,633.85,2.506666666666667,70.42777777777778
0196-VULGZ,True,Female,1,True,False,6,Yes,Yes,Fiber optic,No,No,No,False,No,Yes,Month-to-month,True,Electronic check,84.35,474.9,2.8116666666666665,79.14999999999999
0197-PNKNK,False,Female,0,True,True,69,Yes,Yes,Fiber optic,Yes,No,Yes,False,No,No,One year,False,Bank transfer (automatic),84.45,5848.6,2.815,84.76231884057971
0201-MIBOL,False,Female,1,False,False,66,Yes,Yes,Fiber optic,Yes,No,No,False,Yes,Yes,Two year,True,Bank transfer (automatic),102.4,6471.85,3.4133333333333336,98.05833333333334
0201-OAMXR,True,Female,0,False,False,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,One year,False,Credit card (automatic),115.55,8127.6,3.8516666666666666,116.10857142857144
0203-HHYIJ,True,Male,0,False,False,25,Yes,Yes,No,No internet service,No internet service,No internet service,,No internet service,No internet service,One year,False,Bank transfer (automatic),25.3,676.35,0.8433333333333334,27.054000000000002
0206-OYVOC,False,Female,0,True,True,46,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,True,Mailed check,19.25,864.2,0.6416666666666667,18.786956521739132
0206-TBWLC,False,Female,0,True,False,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,True,Yes,Yes,One year,True,Mailed check,114.65,6049.5,3.8216666666666668,112.02777777777777
0207-MDKNV,True,Female,0,False,False,15,Yes,No,Fiber optic,Yes,No,Yes,True,Yes,Yes,Month-to-month,False,Electronic check,105.1,1582.75,3.503333333333333,105.51666666666667
0208-BPQEJ,False,Female,0,True,True,12,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Month-to-month,False,Bank transfer (automatic),19.4,198.1,0.6466666666666666,16.508333333333333
0212-ISBBF,False,Female,0,False,False,22,No,No phone service,DSL,No,Yes,No,False,Yes,Yes,Month-to-month,True,Electronic check,50.35,1098.85,1.6783333333333335,49.94772727272727
0214-JHPFW,False,Female,0,True,False,70,No,No phone service,DSL,No,Yes,Yes,True,Yes,Yes,Two year,False,Bank transfer (automatic),57.8,4039.3,1.9266666666666665,57.70428571428572
0215-BQKGS,False,Male,0,False,False,30,Yes,No,Fiber optic,Yes,Yes,Yes,False,No,No,Month-to-month,True,Credit card (automatic),84.3,2438.6,2.81,81.28666666666666
0218-QNVAS,False,Male,0,True,True,71,Yes,Yes,Fiber optic,No,Yes,No,False,Yes,Yes,One year,False,Bank transfer (automatic),100.55,7113.75,3.3516666666666666,100.19366197183099
0219-QAERP,False,Male,0,True,False,30,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,One year,False,Credit card (automatic),19.8,576.65,0.66,19.221666666666668
0219-YTZUE,True,Male,0,True,True,4,Yes,Yes,Fiber optic,No,Yes,Yes,False,No,No,Month-to-month,True,Bank transfer (automatic),84.8,371.9,2.8266666666666667,92.975
0220-EBGCE,True,Male,0,False,False,2,Yes,No,Fiber optic,No,No,Yes,False,No,Yes,Month-to-month,True,Electronic check,85.85,167.3,2.8616666666666664,83.65
0221-NAUXK,False,Male,0,False,True,10,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,One year,True,Bank transfer (automatic),19.95,219.5,0.6649999999999999,21.95
0221-WMXNQ,False,Male,1,False,False,4,Yes,No,Fiber optic,Yes,No,No,False,No,No,Month-to-month,False,Electronic check,75.35,273.4,2.5116666666666663,68.35
0222-CNVPT,False,Male,1,False,False,52,No,No phone service,DSL,Yes,No,No,False,Yes,Yes,Month-to-month,True,Credit card (automatic),48.8,2555.05,1.6266666666666665,49.135576923076925
0224-HJAPT,True,Male,0,False,False,5,Yes,Yes,DSL,No,No,No,False,No,No,Month-to-month,False,Electronic check,47.15,223.15,1.5716666666666665,44.63
0224-NIJLP,False,Male,0,True,True,8,Yes,No,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,False,Mailed check,20.15,165.5,0.6716666666666666,20.6875
0224-RLWWD,False,Female,1,False,False,2,Yes,No,DSL,No,No,No,False,No,No,Month-to-month,True,Electronic check,44.3,89.3,1.4766666666666666,44.65
0225-ZORZP,False,Male,0,False,False,3,Yes,No,Fiber optic,No,Yes,No,False,No,Yes,Month-to-month,False,Electronic check,84.3,235.05,2.81,78.35000000000001
0228-MAUWC,False,Male,0,False,False,19,Yes,Yes,DSL,No,No,Yes,True,No,No,Month-to-month,False,Electronic check,59.55,1144.6,1.9849999999999999,60.24210526315789
0229-LFJAF,False,Male,0,False,False,72,Yes,Yes,DSL,Yes,Yes,Yes,True,No,No,Two year,False,Bank transfer (automatic),69.65,4908.25,2.3216666666666668,68.17013888888889
0230-UBYPQ,False,Male,1,True,False,63,No,No phone service,DSL,Yes,No,No,True,No,No,One year,False,Bank transfer (automatic),36.1,2298.9,1.2033333333333334,36.490476190476194
0230-WEQUW,False,Male,0,True,False,66,No,No phone service,DSL,Yes,Yes,Yes,True,Yes,No,Two year,True,Bank transfer (automatic),56.6,3789.2,1.8866666666666667,57.41212121212121
0231-LXVAP,True,Male,0,False,False,1,Yes,No,Fiber optic,No,No,No,True,No,No,Month-to-month,True,Electronic check,75.9,75.9,2.5300000000000002,75.9
0233-FTHAV,False,Female,0,False,False,60,Yes,Yes,Fiber optic,No,No,Yes,False,No,No,One year,True,Bank transfer (automatic),79.2,4765.0,2.64,79.41666666666667
0234-TEVTT,False,Female,0,True,True,48,No,No phone service,DSL,Yes,No,Yes,False,No,Yes,One year,False,Credit card (automatic),45.0,2196.3,1.5,45.75625
0235-KGSLC,True,Female,0,False,False,1,Yes,No,Fiber optic,No,No,Yes,False,Yes,No,Month-to-month,True,Credit card (automatic),85.55,85.55,2.8516666666666666,85.55
0236-HFWSV,True,Male,0,False,False,15,Yes,Yes,Fiber optic,No,No,No,False,Yes,Yes,Month-to-month,True,Electronic check,93.35,1444.65,3.1116666666666664,96.31
0237-YFUTL,False,Female,0,True,False,50,Yes,Yes,Fiber optic,Yes,Yes,No,True,Yes,Yes,Month-to-month,True,Bank transfer (automatic),109.65,5405.8,3.6550000000000002,108.116
0238-WHBIQ,False,Male,0,True,True,72,Yes,Yes,DSL,Yes,Yes,Yes,True,Yes,Yes,Two year,False,Credit card (automatic),89.7,6339.3,2.99,88.04583333333333
0239-OXEXL,False,Female,0,False,False,46,Yes,Yes,Fiber optic,Yes,Yes,No,False,No,No,Month-to-month,False,Mailed check,84.25,3847.6,2.808333333333333,83.64347826086956
